	input
2916	Gusa iyi kipe yafatiwe ibihano bikomeye aho umutoza wayo wungirije ndetse n’abakinnyi babiri bahagaritswe na CAF bityo bakaba batazafatanya n’ikipe yabo.
2917	Abafana b’ikipe ya Arsenal yo mu Bwongereza baturuka mu bihugu byo muri Afurika y’Iburasirazuba bahuriye mu Karere ka Bugesera bakora ibikorwa byo gufasha abakene maze baranasabana.
2918	Sekamana Jean Damascne nk’umuyobozi waryo mushya usimbuye kuri iyi mirimo Nzamwita Vincent De Gaulle wari uyimazeho igihe kinini.
2919	Umukino watangiye nyuma y’imvura nyinshi yari yaguye mu karere ka Gicumbi ikibuga kikangirika cyane ku buryo umukino watangiye abakinnyi bakagorwa bikomeye no kugikiniramo.
2920	Umunsi wa Kabiri ku cyumweru tariki 1 Mata 2018 bazatembera Kigali nyuma bahurire muri Tuuza Inn ari naho bazakorera ubusabane.
2921	igice cya mbere cyarangiye ari igitego kimwe cya Mamelodi Sundowns ku busa bwa Rayon Sports .
2922	Kuri ubu abayobozi ba Rayon Sports bamaze kwihaniza aba bafana banagaya imyitwarire yabo idahwitse bagaragaje.
2923	com yatangaje ko hari ibiganiro bamazemo iminsi n’andi ma federasiyo yo mu bihugu bitandukanye birimo n’ibyo ku mugabane w’i Burayi ndetse ko hari n’inkunga bamaze kwemererwa.
2924	Uyu mukino ubaye mbere y’uko Rayon Sports yarekeza muri Afurika y’epfo gucakirana na Mamelodi Sundowns.
2925	Ishyirahamwe ry’umupira w’amaguru mu Rwanda, FERWAFA, ryahagaritse abakomiseri baryo Nshimiyimana Innocent na Niyitegeka Faraj bazira amakosa bakoze yo kutagera ku bibuga bari boherejweho n’ubuyobozi bwabo.
2926	Gen Jean Damascene Sekamana w’imyaka 60 uherutse guhabwa ikiruhuko cy’izabukuru mu ngabo z’u Rwanda na Rurangirwa Louis wari wangiwe kwiyamamaza ubushize, nibo bemerewe kuzahatanira uyu mwanya .
2927	Uyu mukino watangiye ahagana 18h00 waranzwe no kwihagararaho ku makipe yombi ari nabyo byatumye urangira ntan’imwe ibashije kureba mu izamu ry’indi.
2928	Uyu mukino watangiye ahagana 18h00 nibwo umukino watangiye Rayon Sports itangira isatira mu minota 10 yambere Rayon Sports yatangiye neza ariko ntiyagira igitego ibona.
2929	Nubwo iyi mikino imaze kwigarurira imitima ya benshi kuri iyi si, hari byinshi kuri yo abantu bataramenya birimo n’inkomoko zayo.
2930	Uyu mukino wa 23 wa shampiyona y’igihugu y’umupira w’amaguru, wabereye kuri Sitade ya Kigali bakunda kwira Regional iherereye i Nyamirambo mu mujyi wa Kigali.
2931	Iyi kipe ye, nta gihe kinini yari amazemo kuko yatangiye kuyikira muri Mutarama uyu mwaka.
2932	Si ubwa mbere Real Madrid na Atletico zigiye guhurira ku mukino wa nyuma wa Champions League, kuko no mu mwaka wa 2014 zahuye, Real Madrid ikabasha gutsinda bigoranye.
2933	Lionel Messi yavutse tariki 24 Kamena 1987, avukira mu mujyi witwa Rosario wo mu gihugu cya Argentine.
2934	Mu yindi mikino yabaye kuri uyu wa Kabiri, harimo uwa Musanze FC yanganyije na Marines 1-1 ndetse na Rwamagana City yatsinze Sunrise FC igitego 1-0.
2935	Twifashishije icyegeranyo cya Ruhagoyacu, turabagezaho amateka n’uduhigo twaranze imikino aya makipe yagiye akina.
2936	Ku munota wa 31 w’umukino, Xabi Alonso yabonye igitego cya mbere icyizere cyo kwegukana intsinzi gitangira kuza ku ruhande rwa Bayern Munich.
2937	Ubushakashatsi bwagaragaje ko umwana gukunda nyina abivukana, kuko aba amaze amezi 9 ari mu nda ya nyina ariwe umurinda, amugaburira, amuha umwuka ahumeka.
2938	Uyu mukobwa w’imyaka 22 afite agahinda k’uko agize imyaka 22 nta musore uramutereta kandi ari mwiza akaba afite n’amafaranga.
2939	Abagore bakunda utuntu duto cyane bamwe mu bagabo badaha agaciro ari nabyo bituma abagore babaca inyuma bakarya kubishakira ku bantu basuzuguritse nk’abakozi bo mu rugo cyangwa abashoferi babo.
2940	Gufuha si bibi ariko iyo bikabije bitera ibibazo mu rukundo ku buryo mushobora no gutandukana.
2941	Mu mibonano mpuzabitsina umugore unyara ni ingenzi cyane, kuko umugore utanyara yandura kandi akanduza indwara zandurira mu mibonano mpuzabitsina mu buryo bworoshye.
2942	Urubuga Elcrema rwakusanyije ibimenyetso bigaragaza ko igihe kigeze ugafata umwanzuro wo gutandukana n’umukunzi wawe.
2943	Ni gake waganira n’umukobwa akakwereka ko agukunda cyangwa se yakwihebeye ahubwo asa nk’ubyirengagiza akajya abikwereka mu marenga no mu bikorwa bimwe na bimwe akora.
2944	Niba umugabo agize atya agafungura umunwa we agiye gusoma umugore we,ururimi rwe agomba kurutosa ndetse akamusomana umutuzo adahubuka.
2945	Habaho ibiza bene byo bagafatanya kubicyemura cyangwa bakitabaza inshuti n’imiryango bakicara basasa inzobe nuko ikibazo kigashakirwa umuti.
2946	Ayo mashusho yafashwe ubwo uyu mugabo n’ umugore bari batumiwe mu kiganiro cyatambutse kuri Nhyira FM yo mu gihugu cya Ghana.
2947	Umugore w’ umunyeshyari yinjiye mu cyumba cyaberagamo ubukwe avuza induru avuga ko akunda uwo musore wari umaze gusezerana.
2948	Hari ugusomana bifatwa nko gusuhuzanya bisanzwe no gusomana bigamije gushimishanya ari nabyo bimara umwanya ugereranyije no gusomana byo gusuhuzanya.
2949	Ese wigeze wibaza impamvu hari abakobwa bahorana mu cyumba cyabo amavuta ya Vaseline na cocombre, igisubizo cyawe ni muri iyi nkuru.
2950	Umugabo wubatse yahimbye indi konti kuri facebook ashyiraho ifoto itari iye ateretana n’ umugore we kugeza bahanye rendez-vous bahurira muri hoteli saa mbili z’ ijoro.
2951	Ubushakashatsi bugaragaza ko muri iki gihe ikintu cyo gucana inyuma cyeze, kandi ko kigenda gifata intera haba ku ruhande rw’ abagabo no ku ruhande rw’ abagore.
2952	Guteretana akenshi bifatwa nk’ ibintu by’ umunezero, ariko kuba uwo mukundana yarakaye cyangwa afite umunabi ntibivuga ko uwo munsi guteretana bihagarara.
2953	Muri iyi nkuru tugiye kubagezaho impamvu eshatu zituma abakundaniye ku ishuri urukundo rwabo akenshi rurangirira ku ishuri.
2954	Ibi bintu abagore hafi ya bose babihuriyeho kandi ntibajya babisaba kabone n’iyo yaba ari umugore usanzwe uzwiho kwisanzura ku mukunzi we.
2955	Bamwe batereza ko urukundo ari imibereho idasanzwe, bakarushyiriraho amahame na za kirazira, ariko zimwe muri izo kirazira kuzirengaho mu buryo budakabije bituma urukundo rwanyu ruramba.
2956	Ibyo ni ibi bikurikira Burya bitewe n’impamvu zitandukanye, hari ibintu abasore n’abagabo baba badakwiye gutindaho no kubaza cyane abakobwa n’abagore kuko badakunda kubivugishaho ukuri.
2957	Inzobere mu by’imitekerereze n’imibanire zo zivuga ko gufuha ugakabya ari uburwayi.
2958	Uyu musore wigaga indimi n’ubuvanganzo muri rimwe mu mashuri yo mu ntara y’ amajyepfo y’ u Rwanda yari umuhanga mu ishuri ariko akomoka mu muryango w’abatishoboye.
2959	Mu muco nyarwanda gusomana ni umuco utari umenyerewe ariko uri kugenda ufata indi ntera cyane mu basirimu.
2960	Umugore wakunnye aba afite umwihariko we mu gihe cy’imibonano mpuzabitsinda kimwe n’uko utavuga ko abatarakunnye bo badashimisha abagabo babo, ababikoze nibo bemeza ibyiza byabyo bitewe n’uko babibona.
2961	Umusore ugiye gutereta bwa mbere aba afite urwikekwe kuko aba atizeye neza niba uwo agiye gusaba urukundo ari bwakire ubwo busabe .
2962	Si abantu bakunda ibiraha no gusohokanwa ahantu hahenze niyo mpamvu n’ ibintu bakunda ku bagore usanga ari ibintu bisanzwe bitagora umugore uwo ariwe wese ufite ubushake bwo kubaka rugakomera.
2963	Ivanka n’ umugabo we Jared Kushner bifotoje amafoto menshi ariko iyamenyekanye cyane n’ iyo bifotoreje ifoto bahagaze imbere ya tableau iri muri iyi nzu ndangamurage yitwa joconde’.
2964	Hari ibintu byinshi bikorwa mu bukwe ukaba wakwibaza icyo bisobanuye bikakuyobera.
2965	Umurundikazi Azama Darifa ubu ni umumiliyoneri mu buryo atari yarigeze atekereza.
2966	Urukundo hamwe barwita ubusazi kuko hari igihe rutuma umuntu yirenga agatangira gukora ibintu bidasanzwe.
2967	Si mu Rwanda gusa, ku Isi hose ubushakashatsi bugaragaza ko gatanya zirimo kwiyongera.
2968	Umuhanzi w’ umunyamuziki akaba n’ umuhanzi w’ umunyabugeni wamenyekanye cyane mu ndirimbo Erina Nakunze’ avuga ko ibivugwa muri iyi ndirimbo ariwe byabayeho.
2969	Kugira ngo umubano wanyu urusheho kuba mwiza no kuzaba mwiza hari interuro n’ ingingo mudakwiye kubwira umugore wawe cyangwa umukobwa mukundana.
2970	Umukozi ushinzwe umutekano w’ icumbi ry’ abakobwa biga muri imwe muri kaminuza aravuga ko abakobwa ashinzwe kurinda bagiye gutuma akazi kamunanira kubera uburyo bamugerageza bakiyambika nk’ indaya.
2971	Umukinnyi wa Filime wo mu gihugu cya Gambia witwa Princess Shyngle yashyize ahagaragara ibyari amabanga mu rukundo rwe n’ umusore wo muri Senegal.
2972	Dr Jen Gunter ni umuganga w’inzobere mu by’indwara zibasira abagore muri Amerika no muri Canada ufite ubunararibonye bw’imyaka 25.
2973	Umukobwa wo muri Leta zunze ubumwe za Amerika yasutse peterole ku muhungu bakundanaga akamushumika yakatiwe gufungwa imyaka 60.
2974	Ubwo ubu bushakashatsi bwakorwaga ngo barabafashe babaryamisha ahantu ubundi babapfuka mu maso maze ubushakashatsi bukorerwa ku bice bitandukanye by’umubiri.
2975	Umugabo wo muri Afurika y’ Epfo uregwa guca umutwe w’ umukunzi mu kwezi kwa 4 bapfuye ikintu kitaramenyekana urubanza rwe rwimuriwe mu kwezi kwa 10.
2976	Uyu mugore Doris wapfaye nyuma y’ iminsi 19 akoze ubukwe yakundanye na Mwato kuva mu myaka 21 ishize ubwo bombi biganaga mu mashuri yisumbuye.
2977	Leighandre Jegels, umukobwa warushaga abandi mu mukino wa Karate akaba n’ uwa mbere mu iteramakofe mu gace k’ Afurika y’ Amagepfo yishwe n’ umupolisi bakundanaga.
2978	Umuhungu w’ umuherwe wari ufite imyaka 21 yihahuye nyuma y’ umukobwa w’ umunyamideli bakundanaga amubwiye atakimukunda.
2979	Polisi yo mu gihugu cya Espagne yatangaje ko yataye muri yombi umugabo ukurikiranyweho gufata amashusho y’ amakariso y’ abagore 500 akabikora mu ibanga ba nyiri ugufatwa amashusho batabizi.
2980	Umugore wo mu gihugu cya Ghana witwa Nana Darkoa Sekyiamah yagize ishyaka ryo kuvuganira abagore ngo uburenganzira bwabo bwo kuryoherwa n’ imibonano mpuzabitsina bwubahirizwe.
2981	Uyu mukobwa ufite umwana w’imyaka itanu yabyariye iwabo, aherutse gutangaza ko yifuza umugabo ariko ashyiraho ibisabwa ku wo yakwemera, birimo n’amafaranga agomba kwinjiza aho yavuze agera kuri miliyoni 10.
2982	Umuyobozi w’ umujyi wa Dubai, Sheik Mohammed bin Rashid al-Maktoum umugore we yamutaye atwara miliyoni 31 z’ amayero ajya kuzitangiza ubuzima bushya.
2983	Umukobwa w’ Umwongerezakazi witwa Chloe yahishyuye ko akorera ibihumbi 2 by’ amayero buri joro ayakuye mu mwuga akora utavugwaho rumwe wo gushimisha abagabo.
2984	Ku rutonde rw’ ibihugu 15 bya mbere ku Isi bifite abagabo bagorwa no kubona abagore hariho 3 byo muri Afurika nk’ uko Ukwezi tubikesha Ikinyamakuru Herbeauty.
2985	Ubwami bwa Thalande bwatangaje ko umwami w’ iki gihugu yarongoye uwari umuyobozi wungirije mu itsinda ry’abashinzwe kumucungira umutekano, nuko ahita amugira n’umwamikazi.
2986	Umukire ushaka kujya kuri iki kirwa yishyura amayero 4, frw uzavuga ko abakobwa babiri mu ijoro badahagije bazamwongera abandi.
2987	Umunyeshuri wo mu gihugu cya Nigeria wiyita impirimbanyi y’ uburenganzira bw’ abagore yagiriye abagore bafite abagabo inama yo kubaca inyuma cyane, agaragaza n’ icyo bizakemura nibasambana n’ abasore bananutse.
2988	Mu gitabo cyandikwamo abaciye uduhigo ku Isi handitswemo amazina abiri iry’ umukecuru n’ iry’ umusaza bamaze imyaka myinshi babana nk’ umugore n’ umugabo.
2989	Umugabo uca inyuma umugore we akenshi ntaba yifuza ko yatandukana n’ umugore we wa mbere n’ ubwo aba amuca inyuma akajya gusambana ku ruhande.
2990	Iyo umugore atinze kugarura ibyiyumviro ku byerekeranye no gukora imibonano mpuzabitsina biba bitewe n’ ibyo yahuriye nabyo mu kubyara.
2991	Umusenateri uherutse kujyanwa mu bitaro yakubitiwe mu kabyiniro n’ umuntu utazwi bikekwa ko ari ihabara rye yongeye kugaruka mu itangazamakuru avugwaho ubushurashuzi n’ ubuhemu.
2992	Umugore wakoraga muri Banki y’ ubucuruzi yo mu gihugu za Zambia ZANACO yahagaritswe ku murimo azira ko yaryamanye n’ abagabo 200 bagannye iyi banki basaba inguzanyo cyangwa akazi.
2993	Mfite imyaka 25 we afite imyaka 28 twahuye mu myaka 3 ishize dukorana twembi turi ingaragu kandi twigenga.
2994	Byabereye I Texas muri Leta zunze ubumwe za Amerika.
2995	Uyu mukobwa nubwo yari yambaye iyo bikini umuntu wamureba amuturutse inyuma yabonaga yambaye ubusa buriburi.
2996	Bamwe mu bagore b’ abayisilamu baremewe n’ igihano cyitwa Triple Tlaq’ gusendwa byihuse’ bahabwa bazira udukosa tw’ amafuti.
2997	Umukinnyi w’ umupira w’ amaguru Michel Rusheshangonga kuri uyu wa Kabili tariki 23 Nyakanga 2019 yasezeranye imbere y’ amategeko n’ umukunzi we Nakazungu Aime bakunda kwita Njungu.
2998	Petersburg ari kumwe n’ umukunzi we Rico, bagezeyo bahurirayo n’ umugabo batazi afite ikarito.
2999	Umugore w’ imyaka 30 ufite yasambanyijwe n’ abagabo 18 umugabo areba, uyu mugore ngo ntiyari yarigeze asambana na rimwe kugeza ashatse umugabo.
3000	Danny wari ufite abana babiri b’ abakobwa, uw’ imyaka 6 n’ uw’ itanu avuga ko yigeze kubasiga mu nzu ari kuri noheli akajya kwisambanira.
3001	Abongereza ngo bagabanyije gukora imibonano mpuzabitsina ugereranyije no mu myaka ishize, nkuko bigaragazwa n’ikusanyabitekerezo rishya ryakozwe muri iki gihugu.
3002	Umugore wo muri Leta ya Florida ufite abana batatu yakwirakwije ku mbuga nkoranyambaga amafoto y’ igitsina cy’ umugabo asaba amafaranga ngo abihagarike ariko ubu akurikiranywe mu rukiko.
3003	Ndi umukobwa mfite imyaka 20, basaza banjye umukuru afite 18 undi afite 6.
3004	Ubwo twashyingiranwaga mu myaka 7 ishize twabanaga mu nzu.
3005	Abahanga bemeza ko ukoresheje izi pozisiyo enye mu gutera akabariro byagufasha gutakaza ibiro bitakugoye.
3006	Mu isi hari ibintu byinshi bigaragara k’ ibidasanzwe ariko bimwe muribyo biba ibidasanzwe mu gihugu runaka ahandi bakabibona nk’ ibisanzwe.
3007	Ibintu wakora mu kugaragariza uwo mwashakanye ko umukunda nyabyo Igice cya mbere.
3008	Hagira hati Ubonye umugore mwiza aba abonye umugisha ahawe n’Uwiteka.
3009	Umugore wo muri Zimbabwe n’ umugabo we babaye kimomo ku mbuga nkoranyambaga nyuma yo gufatwa amafoto uyu mugore akurira igitsina cy’ umugabo we.
3010	com mwari mwabukereye ngo mwereke abo mwihebeye ko mukundana urudashira.
3011	Rero mu rwego rwo kugirango utazajya uhora muri mvuye kuri uyu ngiye kuri uyu, gerageza gukurikiza izi nama zitangwa n’urubuga rwa quickeasyfit.
3012	Iyi ni inkuru ushobora gufata nk’inkuru y’urwenya rwo kuruhura umutwe ariko ikaba yanatuma umuntu arushaho gutekereza kandi akagira icyo yunguka mu bitekerezo bye.
3013	Si byiza ko wakereka umukunzi wawe cyangwa se uwo mwashakanye ko utameze neza mu gihe mugiye gutera akabariro.
3014	Abakobwa banga abahungu bakora ibintu biteye ishozi nko kuba wavuga cyangwa ugakora ibintu biteye isesemi igihe muri kumeza cyangwa se muri ahantu hari abantu benshi.
3015	Hari abatandukana babihubukiye, nyuma bakifuza kuba bakongera kubana cyangwa gukundana n’abo bashwanye, ugasanga ntibibashobokeye cyangwa bakabigeraho bibagoye cyane.
3016	Nk’uko abahanga mu by’imibanire babivuga, ngo iyo wegereje igihe cyo gusezerana n’uwo ukunda hari ibintu byinshi ugomba kureka mbere y’uko murushinga kuko bishobora kwica umubano wanyu.
3017	Ni uko umugore bigera aho biramurenga, kwihangana biramunanira yigira inama yo kujya kuraguza ngo arebe ko byakemuka.
3018	Abashakashatsi bo muri kaminuza y’ahitwa Bonn mu gihugu cy’u Budage bashyize ahagaragara umuti wo mu bwoko bw’imisemburo hormone witwa Ocytocine ufasha abagabo kwishimira abagore babo ntibabace inyuma.
3019	Bamwe mu bagabo n’abagore Imibonano mpuzabitsina ifata umwanya wa mbere mu buzima bw’abashakanye ku buryo urugo rushobora no gusenyuka igihe idakozwe neza.
3020	Ibintu wakora mu kugaragariza uwo mwashakanye ko umukunda nyabyo Igice cya mbere.
3021	Ubukwe bw’aba bombi, bwaranzwe n’udushya twinshi ndetse n’ibitwenge ku bantu benshi cyane bari babutashye.
3022	Gitifu uzabasezeranya avuga ko bidakunze kubaho gusezeranya abantu barutana cyane mu myaka ariko ngo amategeko arabibemerera.
3023	Nyuma y’amezi atandatu yansabye ko njya kumwereka ababyeyi, ababyeyi banjye baha umugisha urukundo rwacu.
3024	Impanga ebyiri z’ abakobwa zisa cyane, ubu zabuze ayo gucira n’ ayo kumira nyuma yo gukunda umuhungu umwe zikanashaka gushyingiranwa nawe ariko zikaba zitabyemerewe.
3025	Muri iyi baruwa, ndashaka kukwereka ingeso 10 udakwiye kuzihanganira na rimwe ku mukobwa uzatekereza ko mwashakana mukubaka.
3026	Kuburyo bizagufasha kumumenya neza kuko akenshi ushobora kuzasanga wamuntu koko adakwiriye kugukurura kuko wenda imico ye utayikunze.
3027	Ubu ni ubuhamya twandikiwe n’uwitwa Nadine, agamije gusobanurira abasomyi ibyamubayeho ndetse anabagira inama, kuko na we agaragaza ko yicuza amahitamo mabi yakoze.
3028	Impuguke mu gihugu cy’u Bufaransa, umuganga witwa Leleu, avuga ko nyuma yo gukora ubushakashatsi yasanze abahungu bari mu rukundo bakunda kurakazwa cyane n’ibi bintu birindwi.
3029	Uzasanga akwita twa tuzina two kuryoshyaryoshya abakundanasweetheart, honey, darling.
3030	Kimwe n’abasore cyangwa abagabo, abakobwa cyangwa abagore nabo baba bafite ibintu bifuza ku bagabo bashatse cyangwa ku basore bakundana.
3031	Kugirango umuhungu n’umukobwa bakundana bakomeze inzira yabo nziza y’urukundo rudasaza, hari ibintu by’ingenzi buri umwe akwiye gukorera undi kugirango akanyamuneza n’umunezero bihore hagati yabo.
3032	Ni ngombwa ko mbere y’uko uhitamo umuntu muzabana akaramata ugomba kwitonda kuko ushobora kuzisanga ubaho utishimye mu rugo rwawe kuko utabanje kwitonda mbere y’uko wemeranya n’uwo muzabana.
3033	Ubu rero ni bumwe mu buryo bwinshi abakobwa bakoresha bashaka kubenga abasore.
3034	Muri iyi nkuru, turabagezaho ibintu 10 bigaragaza umugore utishimiye urushako ndetse utanyuzwe na mba ngo gukomeza kubakana n’umugabo we.
3035	Umukobwa tutatangaje amazina ku bw’impamvu z’ubuzima bwe bwite, arashaka umusore bahuje ikibazo cy’ubwandu bw’agakoko gatera SIDA bashobora guhuza ubuzima bakubaka urugo.
3036	Mu bushakashatsi bwe yerekana impamvu zishobora kugeza abantu ku kumva ko batagishaka kubana bagahitamo gutandukana.
3037	Hagati aho amakimbirane yatumye urusengero rufungwa n’ubuyobozi n’inzego z’umutekano.
3038	Aya ni amagambo yumvikanye mu gace k’amashusho Video kakwirakwijwe ku mbuga nkoranyambaga, abantu batandukanye batuka uwabivuze ariko yahishuye uburyo ibyo yigishije byakoreshejwe n’abakozi ba satani bakayobya rubanda.
3039	Ibi uyu musaza yabihishuye mu kiganiro kirekire yagiranye n’ikinyamakuru Ukwezi.
3040	Nzakagendana, nzakagendana, agakiza k’Imana we nzakagendana.
3041	Ntuyateshuke uciye iburyo cyangwa ibumoso kugira ngo ubashishwe byose aho uzajya hose.
3042	Tujyane nawe guhera none, tumumenyereho byinshi kubwo gufashwa n’Imana.
3043	Imyaka 25 irashize mu gihugu cyacu habaye jenoside yakorewe abatutsi.
3044	Abantu benshi bari aho ntakintu bamufashije kugira ngo agere kuri Yesu.
3045	Umuhanzikazi uhimbaza Imana uri mu bazamukanye ingoga, Umuhoza Zigrid uzwi nka Hello Ziggy yashyize ahabona indirimbo ye nshya yise 1000.
3046	Nk’uko byumvikana kandi, uwo abantu basabira umugisha ntacyatuma Imana itawumuha.
3047	Mu kiganiro yagiranye n’abanyamakuru ubwo yageraga i Kigali Misigaro yavuze ko yishimiye by’ikirenga kuba agiye gutaramira abanyarwanda nyuma y’imyaka igera kuri 15 atabonana nabo.
3048	Bityo uwo mudayimoni wo gupinga ukaba ugiye kumara ingo uzisenya ndetse abandi muri rusange bakaba bari mu bibazo bigiye bitandukanye.
3049	Amateka y’ibyabaye kuri Umurerwa Olive, ni ubuhamya bwagiye bukora benshi ku mutima ariko ku batari bacye bikaba n’ikimenyetso cyo gukomera kw’amasezerano y’Imana.
3050	Ariko ntituri abasubira inyuma ngo turimbuke ahubwo turi abafite ukwizera kugirango turokore ubugingo bukomeze kubaho.
3051	Amateka y’ibyabaye kuri Umurerwa Olive, ni ubuhamya bwagiye bukora benshi ku mutima ariko ku batari bacye bikaba n’ikimenyetso cyo gukomera kw’amasezerano y’Imana.
3052	Ntabwo ishaka ko ubaho uhangayitse biturutse ku byakubayeho bitewe nawe, cyangwa se undi muntu.
3053	Uretse ibyo ariko, anazwiho kugira uruhare mu kwigisha abanyarwanda ubumwe n’ubwiyunge, ibintu akora yihereyeho kuko yabashije kubabarira abamwiciye umuryango muri Jenoside.
3054	Umuryango w’Abahamya ba Yehova wasoje igiterane cy’ivugabutumwa cy’iminsi itatu, cyahuriyemo abafite ubumuga bwo kutumva no kutavuga, cyaberaga mu Mujyi wa Kigali mu Karere ka Kicukiro.
3055	Stella Christine Manishimwe, ni umuhanzikazi akaba n’umuvugabutumwa mu itorero rya ADEPR.
3056	Ashimangira ko nta mperuka izabaho, ahubwo ko byigishwa ari ugutera abantu ubwoba.
3057	Sedy yakoze iki gikorwa cy’urukundo abinyujije mu muryango yashinze yise Give kindness’.
3058	Kubwimana Deogratias yageze iwe avuye kugarukira amasakaramentugukomorerwa amasakaramentu hashize isaha imwe ahita yitaba Imana.
3059	Ubwo yasezeranyaga abageni mu byumweru bibiri bishize, yasekeje abantu ariko anatuma abantu bagira impaka ku byo yabigishije bitandukanye cyane n’ibyo abandi bigisha iyo basezeranya abageni.
3060	Avuga ko ivugabutumwa rikora ku mubiri no ku bugingo bityo bakaryifashisha batanga ubutumwa bukomeza bukanasana imitima abagifite ingaruka basigiwe na Jenocide.
3061	Jehovaniss Bible Institute College Bible College izatangira mu mezi abiri ari imbere ni ukuvuga mu kwezi kwa Gicurasi 2019.
3062	Ariko icyari kuba cyiza kwari ugushyira mu bikorwa icyo Imana cyangwa abakuyobora yakubwiye muri ako kanya.
3063	Itorero ry’Abangilicani mu Rwanda ryatangije umushinga uhuriweho n’amadiyosezi yose wo kubaka inzu y’ubucuruzi kuri Paruwasi ya RemeraGiporoso izuzura mu gihe gito itwaye miliyoni 450 z’amafaranga y’u Rwanda.
3064	John Gasangwa watangije ndetse akaba anayobora Arise Rwanda Ministries mu Rwanda yavuze ko uretse kubwiriza abantu ubutumwa bwiza, ngo banakora ibikorwa binyuranye byo kuzamurira abaturage imibereho.
3065	Mu kiganiro kirambuye twagiranye yahishuye byinshi bidasanzwe ku buvuzi bwe.
3066	Reka ntangire nkwibutsa uko byari bimeze mu guhangana kwa Dawidi n’igihangange cy’Abafilistiya.
3067	Ntezimana Sebu n’abagenzi be bibumbiye hamwe bagamije kwamamaza Imana y’I Rwanda aho bagamije kuyibwira n’abanyamahanga .
3068	Umugeni avuka mu murenge wa Kinazi mu karere ka Ruhango naho umusore ni uwo mu murenge wa Ruhuha mu karere ka Bugesera.
3069	Kuki wowe warinzwe Kuki waremwe mu buryo butandukanye n’inyamaswa mu gihe cy’iremwa Maze ucukumbure ushake impamvu Imana yabigukoreye.
3070	Abanyeshuri bo muri iyi Kaminuza baganiriye n’Ikinyamakuru Ukwezi, bashimangiye ko babangamiwe no kubona babuzwa uburenganzira bwo gusenga kandi ibishingirwaho bikaba ntaho bihuriye n’ukuri.
3071	Wototo Children’s Choir ibarizwa mu itorero Watoto Ministries ikorera muri Uganda, ndetse rikaba ryaranashinze umuryango ufasha abana bagiye bahura n’ibibazo bitandukanye barimo imfubyi ndetse n’abaturuka mu miryango itishoboye.
3072	Muri uru rubanza rwaregwagamo abantu 12, batatu nibo bahamwe n’icyaha cyo kunyereza umutungo no gukoresha nabi umutungo ufitiye rubanda inyungu, hanyuma icyaha cyo gukoresha impapuro mpimbano kikaba cyabahanaguweho bose.
3073	Iki gitaramo cyari cyitabiriwe n’ibihumbi by’abantu, barimo abashumba b’amatorero atandukanye, abapasitori, abaririmbyi n’abakirisitu baturutse mu bice bitandukanye by’igihugu, cyabereye mu rusengero rwa ADEPR Gasave ku Gisozi.
3074	Iki igitaramo cyamaze amasaha agera kuri atandatu abaririmbye bose banyuze abitabiriye igitaramo,dore abageraga ku ruhimbi basozaga abantu bakigaragaza ko bakibashaka.
3075	Umushumba wa Kiliziya Gatolika ku Isi, Papa Francis, yahaye ikiruhuko cy’izabukuru uwari umushumba wa Arkidiyosezi ya Kigali Musenyeri Thade Ntihinyurwa, amusimbuza Musenyeri Kambanda Antoine, wayoboraga Diyosezi ya Kibungo.
3076	Uwimana Jean Pierre, ni umuvugabutumwa ariko mu kazi gasanzwe akaba ari umwarimu muri Kaminuza y’u Rwanda aho yigisha mu ishuri ry’Itangazamakuru n’Itumanaho.
3077	Bamwe mu bari muri uru rusengero barokotse iyi mpanuka babwiye Ukwezi.
3078	Ishyirahamwe ry’Amatorero y’Ababatisita mu Rwanda, AEBR ryimitse umuvugizi waryo mukuru Rev Ndagijimana Emmanuel ahabwa impanuro zirimo gusigasira ubusugire bw’itorero yirinda icyatukisha itorero ry’Imana aho kiva kikagera.
3079	Iri serukiramuco rizebera muri Kigali Serena Hotel kuwa 04 Ugushyingo 2018 kuva saa cyenda z’igicamunsi.
3080	Aba bakobwa bombi bari bafungiye mu kazu gato cyane karimo umwanda ugaragarira amaso, aho abahabonye bavuga ko kameze nk’ikiraro cy’amatungo.
3081	Ubu buryo ngo nibuzajya bushyirwa mu bikorwa, buzafasha abashakanye gukomera mu rukundo rwabo binatume barukongeza mu rubyiruko rutararongora.
3082	Hamaze kumenyekana abahanzi ndetse n’amatsinda bazaririmba mu gitaramo gikomeye kiri gutegurwa na Christian Communication kiswe ’Rabagirana Worship Festival’, kizagaragarizwamo impano zitandukanye ndetse kinatangirwemo ubutumwa bwiza bwibutsa abanyempano kwera imbuto.
3083	Ibi Aptre Dr Paul Gitwaza yabigarutseho ubwo yari imbere y’imbaga y’abayoboke b’itorero Zion Temple, ubwo yarimo ababwiriza ijambo ry’Imana.
3084	Itorero Foursquare Gospel Church, ryasengeye abakozi b’Imana 35 mu byiciro bitandukanye basabwa gukora umurimo wabo batiganda no kuba abagaragu b’abo bakorera.
3085	Abagore batatu barwaniye mu rusengero rwa ADEPR ku mudugudu wa Ntendezi, Paruwasi ya Ruharambuga, bamwe baravunika abandi barakomereka, imirwano ihoshwa n’inzego z’umutekano.
